Currency,Rate,,,
rates__USD,1,,,
rates__AED,3.67,,,
rates__AFN,88.42,,,
rates__ALL,109.43,,,
rates__AMD,486.03,,,
rates__ANG,1.79,,,
rates__AOA,448.59,,,
rates__ARS,110.95,,,
rates__AUD,1.33,,,
rates__AWG,1.79,,,
rates__AZN,1.7,,,
rates__BAM,1.76,,,
rates__BBD,2,,,
rates__BDT,85.64,,,
rates__BGN,1.76,,,
rates__BHD,0.376,,,
rates__BIF,2019.25,,,
rates__BMD,1,,,
rates__BND,1.35,,,
rates__BOB,6.87,,,
rates__BRL,4.76,,,
rates__BSD,1,,,
rates__BTN,75.78,,,
rates__BWP,11.49,,,
rates__BYN,2.96,,,
rates__BZD,2,,,
rates__CAD,1.25,,,
rates__CDF,1994.28,,,
rates__CHF,0.923,,,
rates__CLP,788.75,,,
rates__CNY,6.35,,,
rates__COP,3754.23,,,
rates__CRC,655.47,,,
rates__CUP,24,,,
rates__CVE,99.5,,,
rates__CZK,22.04,,,
rates__DJF,177.72,,,
rates__DKK,6.73,,,
rates__DOP,54.86,,,
rates__DZD,142.93,,,
rates__EGP,18.29,,,
rates__ERN,15,,,
rates__ETB,51.32,,,
rates__EUR,0.902,,,
rates__FJD,2.08,,,
rates__FKP,0.761,,,
rates__FOK,6.73,,,
rates__GBP,0.761,,,
rates__GEL,3.08,,,
rates__GGP,0.761,,,
rates__GHS,7.85,,,
rates__GIP,0.761,,,
rates__GMD,54.8,,,
rates__GNF,8946.24,,,
rates__GTQ,7.67,,,
rates__GYD,209.6,,,
rates__HKD,7.83,,,
rates__HNL,24.52,,,
rates__HRK,6.8,,,
rates__HTG,106.27,,,
rates__HUF,331.68,,,
rates__IDR,14392.58,,,
rates__ILS,3.19,,,
rates__IMP,0.761,,,
rates__INR,75.78,,,
rates__IQD,1462.4,,,
rates__IRR,41935.35,,,
rates__ISK,127.74,,,
rates__JEP,0.761,,,
rates__JMD,153.4,,,
rates__JOD,0.709,,,
rates__JPY,121.77,,,
rates__KES,115.33,,,
rates__KGS,94.54,,,
rates__KHR,4057.02,,,
rates__KID,1.33,,,
rates__KMF,443.92,,,
rates__KRW,1212.47,,,
rates__KWD,0.3,,,
rates__KYD,0.833,,,
rates__KZT,466.77,,,
rates__LAK,12706.58,,,
rates__LBP,1507.5,,,
rates__LKR,291.06,,,
rates__LRD,153.24,,,
rates__LSL,14.58,,,
rates__LYD,4.68,,,
rates__MAD,9.47,,,
rates__MDL,18.32,,,
rates__MGA,3181.11,,,
rates__MKD,55.45,,,
rates__MMK,1767.92,,,
rates__MNT,2954.72,,,
rates__MOP,8.07,,,
rates__MRU,36.47,,,
rates__MUR,44.36,,,
rates__MVR,15.4,,,
rates__MWK,820.18,,,
rates__MXN,19.89,,,
rates__MYR,4.2,,,
rates__MZN,64.34,,,
rates__NAD,14.58,,,
rates__NGN,416.67,,,
rates__NIO,35.75,,,
rates__NOK,8.75,,,
rates__NPR,121.25,,,
rates__NZD,1.44,,,
rates__OMR,0.384,,,
rates__PAB,1,,,
rates__PEN,3.71,,,
rates__PGK,3.53,,,
rates__PHP,51.77,,,
rates__PKR,182.99,,,
rates__PLN,4.18,,,
rates__PYG,7061.48,,,
rates__QAR,3.64,,,
rates__RON,4.45,,,
rates__RSD,106.12,,,
rates__RUB,81.71,,,
rates__RWF,1046.61,,,
rates__SAR,3.75,,,
rates__SBD,7.84,,,
rates__SCR,14.41,,,
rates__SDG,446.71,,,
rates__SEK,9.35,,,
rates__SGD,1.35,,,
rates__SHP,0.761,,,
rates__SLL,11827.24,,,
rates__SOS,579.57,,,
rates__SRD,20.75,,,
rates__SSP,426.11,,,
rates__STN,22.11,,,
rates__SYP,2494.29,,,
rates__SZL,14.58,,,
rates__THB,33.3,,,
rates__TJS,12.96,,,
rates__TMT,3.5,,,
rates__TND,2.81,,,
rates__TOP,2.23,,,
rates__TRY,14.68,,,
rates__TTD,6.77,,,
rates__TVD,1.33,,,
rates__TWD,28.56,,,
rates__TZS,2323.19,,,
rates__UAH,29.21,,,
rates__UGX,3591.43,,,
rates__UYU,41.16,,,
rates__UZS,11143.09,,,
rates__VES,4.37,,,
rates__VND,22881.74,,,
rates__VUV,110.75,,,
rates__WST,2.56,,,
rates__XAF,591.9,,,
rates__XCD,2.7,,,
rates__XDR,0.723,,,
rates__XOF,591.9,,,
rates__XPF,107.68,,,
rates__YER,250.55,,,
rates__ZAR,14.58,,,
rates__ZMW,18.11,,,
rates__ZWL,140.93,,,
